id,label,t1,t2,article_number
H19-16-5,Y,"
Article 371
If there is a default with respect to a claim secured by a mortgage, the mortgage extends to the fruits of the mortgaged immovables derived after the default..
","
Even if the owner of a mortgaged property acquires fruits derived after the default of the secured claim, it shall not be a case of unjust enrichment.
",371
H19-17-1,Y,"
Article 414
(1) If an obligor voluntarily fails to perform an obligation, the obligee may request the court to enforce obligor to perform through methods such as direct compulsion, execution by substitution, or indirect compulsion, in accordance with the provisions of the Civil Execution Act and other laws and regulations concerning the procedure for compulsory execution;provided, however, that this does not apply if the nature of the obligation does not permit the enforcement.
(2) The provisions of the preceding paragraph do not preclude claiming compensation for loss or damage..
","
There are cases when compensation of damages may be demanded besides demand for the enforcement of performance.
",414
H19-17-2,Y,"
Article 414
(1) If an obligor voluntarily fails to perform an obligation, the obligee may request the court to enforce obligor to perform through methods such as direct compulsion, execution by substitution, or indirect compulsion, in accordance with the provisions of the Civil Execution Act and other laws and regulations concerning the procedure for compulsory execution;provided, however, that this does not apply if the nature of the obligation does not permit the enforcement.
(2) The provisions of the preceding paragraph do not preclude claiming compensation for loss or damage.
Article 415
(1) If an obligor fails to perform consistent with the purpose of the obligation or the performance of an obligation is impossible, the obligee may claim compensation for loss or damage arising from the failure;provided, however, that this does not apply if the failure to perform the obligation is due to grounds not attributable to the obligor in light of the contract or other sources of obligation and the common sense in the transaction.
(2) If the obligee is entitled to claim compensation for loss or damage pursuant to the provisions of the preceding paragraph, and any of the following cases applies, the obligee may claim compensation for loss or damage in lieu of the performance of the obligation:
(i) the performance of the obligation is impossible;
(ii) the obligor manifests the intention to refuse to perform the obligation; or
(iii) the obligation has arisen from a contract, and the contract is cancelled or the obligee acquires the right to cancel the contract on the ground of the obligor's failure to perform the obligation..
","
There are cases where only compensation of damages may be demanded, while enforcement of performance may not be demanded.
",414|415
H19-20-I,Y,"
Article 499
A person that has performed the obligation for the benefit of the obligor is subrogated to the claim of the obligee.
Article 501
(1) A person that is subrogated to the claim of the obligee pursuant to the provisions of the preceding two Articles may exercise any and all rights possessed by the obligee as the effect of, and as a security for, the claim held by the obligee.
(2) The exercise of rights under the provisions of the preceding paragraph is allowed only to the extent that the person that is subrogated to the claim of the obligee is entitled to seek reimbursement from the obligor based on the person's own rights (if one of the guarantors is subrogated to the claim of the obligee in relation to other guarantors, only to the extent that the guarantor is entitled to seek reimbursement from the other guarantors based on that guarantor's own rights).
(3) In the case referred to in paragraph (1), the following provisions apply in addition to the provisions of the preceding paragraph:
(i) a third party acquirer (meaning a person that has acquired from the obligor the property that is the subject of security; hereinafter the same applies in this paragraph) is not subrogated to the claim of the obligee in relation to any guarantors or third-party collateral providers;
(ii) one of the third party acquirers is subrogated to the claim of the obligee in relation to other third party acquirers in proportion to the price of each property;
(iii) the provisions of the preceding item apply mutatis mutandis if one of the third-party collateral providers is subrogated to the claim of the obligee in relation to other third-party collateral providers;
(iv) between a guarantor and a third-party collateral provider, the subrogation to the claim of the obligee is effected depending on the number of these persons involved;provided, however, that if there are two or more third-party collateral providers, they are subrogated to the claim of the obligee in proportion to the price of each property with respect to the amount which remains after deduction of the share of the guarantor; and
(v) a person that has acquired from a third party acquirer the property that is the subject of security is deemed to be a third party acquirer, and the provisions of items (i) and (ii) apply thereto; and a person that has acquired from a third-party collateral provider the property that is the subject of security is deemed to be a third-party collateral provider, and the provisions of items (i) and (iii) and the preceding item apply thereto..
","
A third party acquirer of a mortgaged real estate obligormay not subrogate to the secured claim of the obligee against the guarantor.
",499|501
H19-26-I,N,"
Article 653
A mandate terminates when:
(i) the mandator or mandatary dies;
(ii) the mandator or mandatary is subject to an order commencing bankruptcy proceeding;
(iii) the mandatary is subject to a decision for the commencement of guardianship..
","
The mandate shall terminate when the mandatary is subject to a ruling for the commencement of bankruptcy procedures, but shall not terminate when the mandator is subject to such ruling.
",653
H19-26-U,Y,"
Article 653
A mandate terminates when:
(i) the mandator or mandatary dies;
(ii) the mandator or mandatary is subject to an order commencing bankruptcy proceeding;
(iii) the mandatary is subject to a decision for the commencement of guardianship..
","
The mandate shall terminate when the mandatary is subject to an order  for the commencement of guardianship.
",653
H19-26-O,N,"
Article 655
The grounds of termination of mandate may not be asserted against the other party unless the other party was notified of or knew of the same..
","
Regardless of the other party's knowledge, the grounds of termination of mandate may not be asserted against the other party unless the other party was notified of the same.
",655
H19-30-1,Y,"
Article 700
A manager must continue the benevolent intervention in another's business until the principal or an heir or legal representative thereof is able to undertake it;provided, however, that this does not apply if it is evident that the continuation of the benevolent intervention in another's business is contrary to the will of the principal, or is disadvantageous to the principal.
Article 702
(1) If a manager has incurred beneficial expenses for a principal, the manager may claim reimbursement of those costs from the principal.
(2) The provisions of Article 650, paragraph (2) apply mutatis mutandis if a manager has incurred beneficial obligations on behalf of the principal.
(3) If a manager has engaged in the benevolent intervention in another's business against the will of the principal, the provisions of the preceding two paragraphs apply mutatis mutandis, solely to the extent currently enriched..
","
Even if contrary to the intentions of the principal, management of business may be established, and in that case, the manager may request reimbursement for expenses incurred for the principal  solely to the extent such principal actually enriched.
",700|702
H19-30-3,Y,"
Article 698
If a manager engages in benevolent intervention in another's business in order to allow a principal to escape imminent danger to the principal's person, reputation, or property, the manager is not liable to compensate for damage resulting from this unless the manager has acted in bad faith or with gross negligence..
","
Unless a Manager engages in the Management of Business in order to allow a principal to escape imminent danger to the principal's person, reputation or property, the manager must manage the business with due care of a prudent manager.
",698
H19-30-5,Y,"
Article 701
The provisions of Article 645
through Article 647
apply mutatis mutandis to the benevolent intervention in another's business.
Article 645
A mandatary must, if so requested by the mandator, report the current status of the administration of the mandated business at any time, and must report the process and results without delay upon termination of the mandate..
","
A manager must report the progress and results to the principal without delay upon completion of the management of business.
",701|645
H23-1-2,N,"
Article 96
(1) A manifestation of intention based on fraud or duress is voidable.
(2) If a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) The rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence..
","
In cases where duress was induced by a third party, if the counterparty of the manifestation of intention does not know of that fact, the person who makes the manifestation cannot rescind the manifestation of intention.
",96
H23-1-3,N,"
Article 96
(1) A manifestation of intention based on fraud or duress is voidable.
(2) If a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) The rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence.
Article 709
A person that has intentionally or negligently infringed the rights or legally protected interests of another person is liable to compensate for damage resulting in consequence..
","
In cases where the person who makes the manifestation believes a fictitious explanation of the counterparty and makes a manifestation of intention, if there was no intention of fraud for the counterparty, the person who makes the manifestation will not be rescued under Civil Code.
",96|709
H23-1-4,Y,"
Article 96
(1) A manifestation of intention based on fraud or duress is voidable.
(2) If a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) The rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence..
","
In cases where the person who makes the manifestation forms a contract based on the fraud of the other person, even if the obligation of the other person is not yet executed based on the contract, the person who makes the manifestation cannot refused execution of his or her obligation for reason of fraud as long as the manifestation of intention is not rescinded.
",96
H23-1-5,Y,"
Article 96
(1) A manifestation of intention based on fraud or duress is voidable.
(2) If a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) The rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence..
","
In cases where a buyer who deceives a seller receives the transfer of ownership of land, before the seller rescinds his or her manifestation of intention due to fraud, even if someone has accepted the establishment of a mortgage of the land without knowing of the fraud, the seller can revoke the manifestation of intention.
",96
H23-2-A,Y,"
Article 97
(1) A manifestation of intention becomes effective at the time notice thereof reaches the other party.
(2) If the other party prevents notice of a manifestation of intention from reaching them without a legitimate reason, the notice is deemed to have reached that party at the time it would have normally reached them.
(3) The effect of a manifestation of intention is not impaired even if the person making it dies, loses mental capacity, or becomes subject to restrictions on their legal capacity to act after having sent the notice..
","
The effect of manifestation of intention occurs when it arrives at the counterparty, and thus, a contract with a person at a distance forms when the manifestation of intention of acceptance arrives at the counterparty.
",97
H23-2-I,N,"
Article 20
(1) After a person with qualified legal capacity who is involved in dealings with another party becomes a person with the legal capacity to act (meaning a person whose legal capacity to act is not subject to restrictions; the same applies hereinafter), the other party to those dealings may fix a period of one month or longer and demand that the person give a definite answer within that period of time as to whether the person will ratify an act that the person may rescind. In such a case, if the person fails to send a definite answer within that period of time, the person is deemed to have ratified that act.
(2) The second sentence of the preceding paragraph also applies if, before the person with qualified legal capacity becomes a person with the legal capacity to act, the other party to dealings involving the person with qualified legal capacity lodges the demand prescribed in the preceding paragraph with the legal representative, curator, or assistant of that person with respect to an act within the scope of their authority, and they fail to send a definite answer within the fixed period of time referred to in that paragraph.
(3) If a person does not send notice within the period of time set forth in the preceding two paragraphs indicating that the person has completed any special formalities that an act requires, the person is deemed to have rescinded that act.
(4) The other party to dealings involving a person with qualified legal capacity may lodge a demand with a person under curatorship or with a person under assistance who is subject to a decision as referred to in Article 17, paragraph (1) to demand that the person get the curator or assistant to ratify an act within the fixed period referred to in paragraph (1). In such a case, if the person under curatorship or person under assistance does not send notice within that period indicating that the person has gotten the curator or assistant to ratify the act in question, the person is deemed to have rescinded that act..
","
In cases where, against a demand of whether or not to ratify an act of a person with limited capacity, a statutory agent issues notification of refusal to ratify within the specified period, and it arrives after the lapse of the period, it is deemed as having been ratified.
",20
H23-2-E,N,"
Article 97
(1) A manifestation of intention becomes effective at the time notice thereof reaches the other party.
(2) If the other party prevents notice of a manifestation of intention from reaching them without a legitimate reason, the notice is deemed to have reached that party at the time it would have normally reached them.
(3) The effect of a manifestation of intention is not impaired even if the person making it dies, loses mental capacity, or becomes subject to restrictions on their legal capacity to act after having sent the notice..
","
After the manifestation of intention of acceptance is issued for the petition for a contract, in cases where the offeree dies before the arrival, if the counterparty knows of the fact of the death of the offeree, the contract  does not become effective.
",97
H23-2-O,Y,"
Article 97
(1) A manifestation of intention becomes effective at the time notice thereof reaches the other party.
(2) If the other party prevents notice of a manifestation of intention from reaching them without a legitimate reason, the notice is deemed to have reached that party at the time it would have normally reached them.
(3) The effect of a manifestation of intention is not impaired even if the person making it dies, loses mental capacity, or becomes subject to restrictions on their legal capacity to act after having sent the notice..
","
Even if it is a contract offer with a determined consent period, if the period is before or at the same time as the arrival of the offer, it can be revoked.
",97
H23-3-A,Y,"
Article 113
(1) A contract concluded by a person who acts as the agent of another person but has no authority to represent does not bind the principal unless the principal ratifies it.
(2) The ratification or refusal to ratify may not be duly asserted against the counterparty unless it is made to that counterparty;provided, however, that this does not apply if the counterparty has come to know the ratification or refusal to ratify.
Article 115
A counterparty may rescind a contract that a person without the authority to represent has concluded until the principal ratifies it;provided, however, that this does not apply if the counterparty knew at the time of the conclusion of the contract that the agent had no authority to represent..
","
Even in cases where the principal ratifies an act of unauthorized agency toward an unauthorized agent, if the counterparty does not know of this fact, he or she can exercise the right to rescind.
",113|115
H23-3-I,N,"
Article 114
In the case referred to in the preceding Article, the counterparty may demand, by specifying a reasonable period of time, that the principal give a definite answer on whether or not the principal will ratify within that period of time.In this case, if the principal fails to give a definite answer within that period, the principal is deemed to have refused to ratify..
","
The counterparty of an act of unauthorized agency can determine a reasonable period of time for the principal and demand to ratify or not to ratify during that period, and if the principal does not provide a definite answer within the time period, the principal is deemed to have ratified.
",114
H23-4-U,N,"
Article 106
(1) A subagent represents the principal with respect to acts within the scope of the authority thereof.
(2) A subagent has the same rights and obligations as an agent in relation to the principal and third parties within the scope of that subagent's authority..
","
In cases where a  privately appointed agent  appoints a subagent due to unavoidable reasons, the sub-agent only possesses a legal relationship with the agent, so acts of the subagent are not acts of agency for the principal.
",106
H23-4-O,N,"
Article 102
An act that a person with qualified legal capacity performs as an agent of another person may not be rescinded on the grounds of qualified legal capacity;provided, however, that this does not apply to an act performed by a person with qualified legal capacity as a legal representative of another person with qualified legal capacity..
","
A privately appointed agent can be a minor, but acts of agency by a minor can be rescinded by the statutory agent.
",102
H23-5-1,Y,"
Article 123
If the counterparty to a voidable act is identified, the voidance or ratification of that act is made by the manifestation of intention to the counterparty..
","
In cases where a minor rescinds a juridical act performed without the consent of his or her statutory agent, if the counterparty of the act has been identified, the rescission is made by the manifestation of intention to the counterparty.
",123
H23-5-2,N,"
Article 123
If the counterparty to a voidable act is identified, the voidance or ratification of that act is made by the manifestation of intention to the counterparty..
","
If a person promises in a contract that he or she will tender a certain performance to a third party other than the counterparty, in cases where this is rescinded due to fraud of the counterparty, if manifestation of intention of profit is already made by the third party, the rescission is  made by the manifestation of intention to the third party.
",123
H23-5-3,Y,"
Article 424
(1) An obligee may demand the court to rescind an act which the obligor commits knowing that it will prejudice the obligee; provided, however, that this does not apply if a person that benefits from that act (hereinafter referred to as the ""beneficiary"" in this Subsection) does not know, at the time of the act, that the obligee will be prejudiced.
(2) The provisions of the preceding paragraph do not apply to an act with a subject matter other than property rights.
(3) The obligee may make the demand under the provisions of paragraph (1) (hereinafter referred to as ""demand for rescission of fraudulent act"") only if the obligee's claim has arisen from a cause that existed before the act prescribed in paragraph (1).
(4) The obligee may not make demand for rescission of fraudulent act if the obligee's claim is not enforceable by compulsory execution..
","
The rescission of  a fraudulent act is performed by the court based on the demand of the obligee.
",424
H23-9-2,Y,"
Article 192
A person that commences the possession of movables peacefully and openly by a transactional act acquires the rights that are exercised with respect to the movables immediately if the person possesses it in good faith and without negligence..
","
Provisions for immediate acquisition do not apply in cases where the property of an inheritee that possessed another person's movables is succeeded by inheritance.
",192
H23-9-3,N,"
Article 192
A person that commences the possession of movables peacefully and openly by a transactional act acquires the rights that are exercised with respect to the movables immediately if the person possesses it in good faith and without negligence..
","
If person accepts the transfer of movables owned by the counterparty, who is incapable of intention, and the person is in good faith and without fault regarding the incapability of intention of the counterparty, he or she acquires the ownership of the movable due to immediate acquisition.
",192
H23-10-1,Y,"
Article 239
(1) Ownership of movables without an owner are acquired by possessing the same with the intention to own.
(2) Ownerless immovables belong to the National Treasury..
","
By possessing a movable without an owner with the intention to own, the possessor acquires ownership of the movable.
",239
H23-10-2,Y,"
Article 197
A possessor may file a possessory action in accordance with the provisions of the following Article through Article 202. The same applies to a person that takes possession on behalf of another person.
Article 200
(1) If a possessor is forcibly dispossessed, the possessor may demand the restitution of the thing and compensation for loss or damage by filing an action for recovery of possession.
(2) An action for recovery of possession may not be filed against a specific successor of a person that forcibly takes possession;provided, however, that this does not apply if that successor had knowledge of the fact that the person has unlawfully taken the possession..
","
If the possession of an item is forcibly dispossessed by the possessor, even in cases where the possession before the dispossession was performed with the intention to own, and in cases without intention to own, the possessor can demand the return of the item based on action for the recovery of possession.
",197|200
H23-10-3,N,"
Article 186
(1) A possessor is presumed to possess a thing with the intention to own, in good faith peacefully and openly.
(2) If there is evidence of possession at two different points in time, it is presumed that possession continued during that interval..
","
A possessor is presumed to possess in good faith, peacefully, and in public, but is not presumed to have intention to own.
",186
H23-10-4,Y,"
Article 185
If it is assumed, due to the nature of the title, that a possessor does not have the intention to own, the nature of the possessor's possession does not change unless that possessor manifests the intention to own to the person that put the thing under that person's possession, or commences possession under a new title with an intention to own from that time..
","
In cases where it is assumed, due to the nature of the title, that a possessor does not have the intention to own, if the possessor commences possession under a new title with an intention to own from that time, the nature of the possessor's possession changes with the intention to own.
",185
H23-11-A,Y,"
Article 196
(1) If a possessor returns a thing in the possession thereof, the possessor may have the person recovering the thing reimburse the possessor for the costs the possessor has paid for its preservation and other necessary expenses;provided, however, that if the possessor has acquired fruits, ordinary and necessary expenses are borne by the possessor.
(2) With respect to the costs paid for by a possessor to improve the thing in the possession thereof and other beneficial expenses, the possessor may have the person recovering the thing reimburse the possessor for either the costs the possessor has paid or the amount of the increased value, whichever the person recovering the thing chooses, but only if there is a current increase in value;provided, however, that with regard to a possessor in bad faith, the court may, at the request of the person recovering the thing, grant a reasonable period of time for the same..
","
When the possessor acquires fruits from a thing under his or her possession, ordinary necessary expenses shall be borne by the possessor.
",196
H23-11-I,Y,"
Article 299
(1) If the holder of a right of retention incurs necessary expenses with respect to the thing retained, that holder may have the owner reimburse the same.
(2) If the holder of a right of retention incurs beneficial expenses with respect to the thing retained, to the extent that there is currently an increase in value as a result of the same, that holder may have the expenses incurred or the increase in value reimbursed at the owner's choice;provided, however, that the court may, at the request of the owner, grant a reasonable period of time for the reimbursement of the same..
","
If a holder of a right of retention incurs necessary expenses with respect to the Thing related, he or she can have the owner reimburse the same.C. A mandatary can demand the mandator the day after the completion of the mandate for reimbursement of fees paid that were recognized as necessary expenses for the administration of the mandated business.
",299
H23-11-E,Y,"
Article 665
The provisions of Articles 646 through 648, Article 649, and Article 650, paragraphs (1) and (2) apply mutatis mutandis to bailments.
Article 650
(1) If the mandatary has expended costs found to be necessary for the administration of the mandated business, the mandatary may claim reimbursement of those costs from the mandator and any interest on the same from the day the costs were expended.
(2) If the mandatary has borne any obligation found to be necessary for the administration of the mandated business, the mandatary may demand that the mandator perform the obligation on the mandatary's behalf. In such cases, if the obligation has not yet fallen due, the mandatary may require the mandator to tender reasonable security.
(3) If a mandatary incurs loss or damage that is not due to the negligence of the mandatary in order to administer the mandated business, the mandatary may claim compensation for this from the mandator..
","
If borne obligations are deemed to be necessary for the retention of a deposited thing, the depositary can demand that the depositor perform the obligation on the depositary's behalf. In such cases, if the obligation has not yet fallen due, the depositary can require the depositor to tender reasonable security.
",665|650
H23-11-O,N,"
Article 702
(1) If a manager has incurred beneficial expenses for a principal, the manager may claim reimbursement of those costs from the principal.
(2) The provisions of Article 650, paragraph (2) apply mutatis mutandis if a manager has incurred beneficial obligations on behalf of the principal.
(3) If a manager has engaged in the benevolent intervention in another's business against the will of the principal, the provisions of the preceding two paragraphs apply mutatis mutandis, solely to the extent currently enriched..
","
Even in cases where the manager in management of business has engaged in the management of business against the intention of the principal, if the manager has incurred useful expenses  for the principal, the manager may claim reimbursement of all costs from the principal.
",702
H23-12-A,Y,"
Article 295
(1) If a possessor of a thing belonging to another person has a claim that has arisen in relation to that thing, that possessor may retain that thing until that claim is satisfied;provided, however, that this does not apply if the relevant claim has not yet fallen due.
(2) The provisions of the preceding paragraph do not apply if possession commenced by means of a tortious act.
Article 533
A party to a bilateral contract may refuse to perform that party's own obligation until the other party tenders the performance of that other party's obligation (including the performance of an obligation to compensate for loss or damage in lieu of the performance of an obligation);provided, however, that this does not apply if the obligation of the other party is not yet due..
","
The contents of performance that can be refused based on rights of retention are the delivery of the thing, but the contents of performance that can be refused based on rights of defense of simultaneous performance are not limited to the delivery of the thing.
",295|533
H23-12-U,Y,"
Article 301
An obligor may demand that a right of retention be terminated by providing a reasonable security.
Article 533
A party to a bilateral contract may refuse to perform that party's own obligation until the other party tenders the performance of that other party's obligation (including the performance of an obligation to compensate for loss or damage in lieu of the performance of an obligation);provided, however, that this does not apply if the obligation of the other party is not yet due..
","
A person who is being exercised rights of retention can demand that the right be extinguished by tendering reasonable security, but a person who is being exercised rights of defense for simultaneous performance cannot demand that the right be extinguished by tendering reasonable security.
",301|533
H23-13-A,N,"
Article 364
The creation of a pledge over a claim (including a pledge over a claim which has not yet arisen) may not be duly asserted against a third party obligor and other third parties unless notice of the creation of the pledge is given to that third party obligor in accordance with the provisions of Article 467, or unless that third party obligors gives consent to the same..
","
In cases of pledges over nominative claims, if there is an instrument for the claim, the pledge establishment does not take effect unless the instrument is delivered.
",364
H23-13-I,Y,"
Article 366
(1) A pledgee may directly collect the claim that is the subject matter of the pledge.
(2) If monies are the subject matter of a pledged claim, the pledgee may collect the same to the extent of the portion that corresponds to the amount of the pledgee's own claim.
(3) If the due date of the pledged claim referred to in the preceding paragraph arrives prior to the due date of the claim of the pledgee, the pledgee may have the third party obligor deposit with official depository that amount to be paid to the pledgee.In this case, the pledge exists over the amount so deposited.
(4) If the subject matter of the pledged claim is not monies, the pledgee has the pledge over the thing received for the satisfaction of the claim..
","
The pledgee of claim X that is a nominative claim can directly collect claim X if the time of performance of the secured claim arrives along with the time of performance for the claim X that is the subject matter of the pledge.
",366
H23-13-E,Y,"
Article 364
The creation of a pledge over a claim (including a pledge over a claim which has not yet arisen) may not be duly asserted against a third party obligor and other third parties unless notice of the creation of the pledge is given to that third party obligor in accordance with the provisions of Article 467, or unless that third party obligors gives consent to the same.
Article 467
(1) The assignment of a claim (including the assignment of a claim that is yet to arise) may not be duly asserted against the applicable obligor or any other third party, unless the assignor gives notice thereof to the obligor or the obligor has consented to the same.
(2) Notice or consent as referred to in the preceding paragraph may not be duly asserted against a third party other than the obligor unless the notice or the consent is made using an instrument bearing a certified date..
","
In cases where a nominative claim where the obligee is an individual is the subject matter of a pledge, to assert the establishment of the pledge against a third party other than the obligator of the claim that is a subject matter of the pledge, the notification or acknowledgement using an instrument bearing a fixed  date is required.
",364|467
H23-17-1,N,"
Article 419
(1) The amount of the compensation for loss or damage for failure to perform an obligation to deliver money is determined with reference to the statutory interest rate as of the time when the obligor first assumes the responsibility for the delay;provided, however, that if the agreed-upon interest rate exceeds the statutory interest rate, the agreed-upon interest rate prevails.
(2) The obligee is not be required to prove loss or damage with respect to the compensation for loss or damage referred to in the preceding paragraph.
(3) The obligor may not raise the defense of force majeure with respect to the compensation for loss or damage referred to in paragraph (1)..
","
If the obligor of a monetary debt cannot pay on the time of performance due to force majeure, the obligor of the monetary debt does not bear responsibility of delay in performance.
",419
H23-19-1,N,"
Article 457
(1) The postponement of expiry of prescription period and the renewal of prescription period due to grounds such as a request for performance in relation to the principal obligor are also effective in relation to the guarantor.
(2) A guarantor may assert against the obligee a defense that can be raised by the principal obligor.
(3) If the principal obligor has a right to set-off, right to rescind or right to cancel against the obligee, the guarantor may refuse to perform the obligation to the obligee to the extent that the principal obligor should have been released from the obligation by exercising these rights..
","
Until the principal obligor offsets with a possessed claim, the guarantor cannot raise a defense vis-a-vis the obligee by setting off any claim.
",457
H23-19-5,N,"
Article 437
Even if there are grounds for the invalidity or rescission of a juridical act with respect to one of the joint and several obligors, the validity of the obligation of other joint and several obligor is not impaired..
","
In cases where, after jointly borrowing 1,000,000 yen from two money lenders one of the jointly and several obligors rescinds the contract for reasons that he or she is an adult ward, the other jointly and several obligors is revoked of the portion of the obligation of the adult ward.
",437
H23-21-4,N,"
Article 478
Performance made to a person that does not constitute a person authorized to accept the performance (meaning the obligee or a third party authorized to accept performance based on the provisions of laws and regulations or the manifestation of intention of the parties; the same applies hereinafter) but that appears to be the person authorized to accept the performance in light of common sense in the transaction is effective only if the person effecting performance was acting in good faith and without negligence..
","
A bearer of a receipt, regardless of the subjective conditions of the performer regarding that person's authority, is deemed to have the authority to accept performance.
",478
H23-23-A,Y,"
Article 460
If a guarantor has given a guarantee as requested by the principal obligor, the guarantor may exercise in advance the right to reimbursement against the principal obligor if:
(i) the principal obligor is subject to an order commencing bankruptcy proceeding, and the obligee does not participate in the distribution of the bankruptcy estate;
(ii) the obligation is due;provided, however, that no extension of time granted by the obligee to the principal obligor after the conclusion of the guarantee contract may be duly asserted against the guarantor; and
(iii) the guarantor is, without negligence, rendered a judicial decision ordering the guarantor to perform the obligation to the obligee..
","
In cases where the claim whose period of extinctive prescription has passed is in a state of offset with and the opposing claim possessed by the obligor before the period has passed, the obligor that possess the claim whose period of extinctive prescription has passed can perform the offset regardless of whether the invocation of prescription is made before the period of extinctive prescription has passed or after.
",460
H23-25-I,Y,"
Article 564
The provisions of the preceding two Articles do not preclude the buyer from claiming compensation for loss or damage pursuant to the provisions of Article 415
or exercising the right to cancel pursuant to the provisions of Articles 541 and 542.
Article 541
If one of the parties does not perform that party's obligation, and the other party demands performance of that obligation, specifying a reasonable period of time, but no performance is completed during that period, the other party may cancel the contract;provided, however, that this does not apply if the non-performance of the obligations upon the passage of the period is minor in light of the contract and the common sense in the transaction.
Article 542
(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(i) if the performance of the whole of the obligation is impossible;
(ii) if the obligor unequivocally manifests the intention to refuse to perform the obligation in whole;
(iii) if the performance of part of the obligation is impossible, or if the obligor clearly manifests the intention to refuse to perform part of the obligation and the purpose of the contract cannot be achieved by the performance of the remaining part of the obligation;
(iv) if, due to the nature of the contract or a manifestation of intention by the parties, the purpose of the contract cannot be achieved unless the obligation is performed at a specific time on a specific date or within a certain period of time, and the obligor fails to perform the obligation at that time or before that period of time expires; or
(v) beyond the cases set forth in the preceding items, if the obligor does not perform the obligation and it is obvious that the obligor is unlikely to perform the obligation to the extent necessary to achieve the purpose of the contract even if the obligee makes the demand referred to in the preceding Article.
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:
(i) the performance of the part of the obligation is impossible; or
(ii) the obligor clearly manifests the intention to refuse to perform the part of the obligation..
","
In cases where the subject of a sale has a latent defect, if the buyer cannot achieve the purpose of the contrac due to the existence of the defect, the buyer can cancel the contract.
",564|541|542
H23-25-U,Y,"
Article 564
The provisions of the preceding two Articles do not preclude the buyer from claiming compensation for loss or damage pursuant to the provisions of Article 415
or exercising the right to cancel pursuant to the provisions of Articles 541 and 542.
Article 541
If one of the parties does not perform that party's obligation, and the other party demands performance of that obligation, specifying a reasonable period of time, but no performance is completed during that period, the other party may cancel the contract;provided, however, that this does not apply if the non-performance of the obligations upon the passage of the period is minor in light of the contract and the common sense in the transaction.
Article 542
(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(i) if the performance of the whole of the obligation is impossible;
(ii) if the obligor unequivocally manifests the intention to refuse to perform the obligation in whole;
(iii) if the performance of part of the obligation is impossible, or if the obligor clearly manifests the intention to refuse to perform part of the obligation and the purpose of the contract cannot be achieved by the performance of the remaining part of the obligation;
(iv) if, due to the nature of the contract or a manifestation of intention by the parties, the purpose of the contract cannot be achieved unless the obligation is performed at a specific time on a specific date or within a certain period of time, and the obligor fails to perform the obligation at that time or before that period of time expires; or
(v) beyond the cases set forth in the preceding items, if the obligor does not perform the obligation and it is obvious that the obligor is unlikely to perform the obligation to the extent necessary to achieve the purpose of the contract even if the obligee makes the demand referred to in the preceding Article.
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:
(i) the performance of the part of the obligation is impossible; or
(ii) the obligor clearly manifests the intention to refuse to perform the part of the obligation.
Article 415
(1) If an obligor fails to perform consistent with the purpose of the obligation or the performance of an obligation is impossible, the obligee may claim compensation for loss or damage arising from the failure;provided, however, that this does not apply if the failure to perform the obligation is due to grounds not attributable to the obligor in light of the contract or other sources of obligation and the common sense in the transaction.
(2) If the obligee is entitled to claim compensation for loss or damage pursuant to the provisions of the preceding paragraph, and any of the following cases applies, the obligee may claim compensation for loss or damage in lieu of the performance of the obligation:
(i) the performance of the obligation is impossible;
(ii) the obligor manifests the intention to refuse to perform the obligation; or
(iii) the obligation has arisen from a contract, and the contract is cancelled or the obligee acquires the right to cancel the contract on the ground of the obligor's failure to perform the obligation..
","
In cases where the subject of a sale has a latent defect and the buyer can cancel the contract due to that reason, along with the cancellation of the contract, the buyer can demand the seller to compensate damages.
",564|541|542|415
